"A 1998","ジャンル","曲 名","演奏者","演奏者2","演奏者3","演奏者4","演奏者5","演奏者6","演奏者7","伴奏","伴奏2","伴奏3","伴奏4","作詞者","補作","作曲者","作曲者2","編曲者","レーベル","レコード番号","シリアル番号","発売","備考","昭和館","場所","箱"
"01","流行歌","思い出しては","松井緋沙子",,,,,,,"タイヘイダンスオーケストラ",,,,"梅田 清",,"山田 甚",,,"タイヘイ","56199-B",,1935,,,,
"01","流行歌","古里たずねて","島村紅雀",,,,,,,"タイヘイセレナーダス",,,,"小笠原 新",,"中村三郎",,"平 茂夫","タイヘイ","56199-A",,1935,,,,
"01","流行歌","塹壕の夢","虎龍","男声合唱付",,,,,,"タイヘイ管弦楽団",,,,"伊藤松雄",,"服部良一",,"服部良一","タイヘイ","56450-A",,1936,,,,
"01","流行歌","旅まくら","虎龍",,,,,,,"タイヘイ管弦楽団",,,,"戸張もりを",,"服部良一",,"服部良一","タイヘイ","56450-B",,1936,,,,
"08","流行新小唄","赤城の唄","虎龍",,,,,,,"タイヘイ和洋楽団",,,,"荒牧輝鳳",,"荒牧輝鳳",,"近藤十九二","タイヘイ","56379-B",,1935,,,,
"08","流行新小唄","木曽ながし","虎龍",,,,,,,"タイヘイ管弦楽団",,,,"荒牧輝鳳",,"荒牧輝鳳",,"服部良一","タイヘイ","56379-A",,1935,,,,
"10","行進曲","火の用心行進曲","黒田 進","水野喜代子",,,,,,"タイヘイ管弦楽団",,,,"相馬御風",,"近藤十九二",,"北木正義","タイヘイ","4681-B",,1934,"黒田 進は楠木繁夫の別名",,,
"09","講演","「火の用心」の講演","大日本消防協会副会長 法学博士 松井 茂閣下",,,,,,,,,,,,,,,,"タイヘイ","4681-A",,1934,,,,
"01","流行歌","港をとめ","伊東千枝子",,,,,,,"タイヘイダンスオーケストラ",,,,"吉井 勇",,"近藤十九二",,,"タイヘイ","4794-A",,1934,"タンゴ",,,
"01","流行歌","夢の磯邊","島津七郎",,,,,,,"タイヘイ管弦楽団",,,,"大塚 徹",,"藤井 実",,,"タイヘイ","4794-B",,1934,"ワルツ",,,
"01","流行歌","窓の青空","曽我部邦夫",,,,,,,"タイヘイジャズバンド",,,,"鹿山映二郎",,"渡辺健二郎",,,"タイヘイ","4607-B",,1934,"ブルース",,,
